product_id,tag
6,sport
6,gaming
6,electronics
7,gaming
7,electronics
8,outdoor
9,gaming
9,kids
10,fashion
10,fitness
10,home
11,home
12,outdoor
13,outdoor
14,outdoor
14,electronics
15,home
16,electronics
16,electronics
16,sport
17,kids
18,outdoor
18,sport
18,electronics
19,home
19,sport
19,electronics
20,kids
21,home
22,gaming
22,gaming
22,electronics
23,electronics
23,fitness
24,fitness
24,outdoor
24,outdoor
25,fitness
25,sport
25,home
26,outdoor
26,kids
27,home
27,sport
28,sport
28,sport
29,gaming
29,fashion
29,kids
30,gaming
30,outdoor
31,electronics
32,fitness
32,fashion
32,gaming
33,fashion
34,gaming
34,fitness
35,outdoor
35,home
35,fitness
36,home
36,home
36,fashion
37,home
38,outdoor
38,fitness
39,home
39,home
40,kids
40,sport
41,electronics
41,home
41,kids
42,gaming
42,gaming
43,gaming
44,outdoor
44,fitness
44,gaming
45,kids
45,fashion
46,sport
46,fashion
47,kids
48,gaming
48,outdoor
49,fashion
49,outdoor
50,kids
51,electronics
51,fitness
52,electronics
52,fitness
52,electronics
53,fitness
53,fashion
53,fitness
54,electronics
54,electronics
54,electronics
55,sport
55,electronics
55,sport
56,kids
56,fashion
57,fashion
57,kids
58,home
59,fashion
59,electronics
60,gaming
60,outdoor
60,gaming
61,kids
61,kids
62,electronics
63,home
64,electronics
64,kids
64,electronics
65,fashion
66,gaming
66,sport
66,fitness
67,gaming
67,fashion
68,home
68,home
69,outdoor
70,sport
70,kids
71,kids
72,fitness
72,home
73,gaming
73,electronics
73,sport
74,sport
74,gaming
75,gaming
76,fitness
76,kids
77,home
77,outdoor
77,outdoor
78,home
79,sport
80,fitness
80,outdoor
80,electronics
81,kids
81,home
82,electronics
82,kids
82,sport
83,home
83,outdoor
83,electronics
84,electronics
85,outdoor
85,home
86,gaming
86,gaming
86,gaming
87,fitness
87,home
87,fashion
88,home
88,home
89,kids
89,kids
89,gaming
90,fitness
90,home
91,fashion
91,fitness
91,kids
92,electronics
92,sport
92,outdoor
93,fitness
93,sport
94,kids
94,home
94,fashion
95,sport
95,sport
95,outdoor
96,gaming
96,sport
97,gaming
97,sport
98,outdoor
98,kids
98,kids
99,fitness
99,home
100,electronics
101,gaming
101,gaming
102,gaming
103,kids
104,electronics
104,fashion
105,gaming
106,electronics
106,kids
107,electronics
108,sport
108,fitness
108,gaming
109,sport
110,electronics
110,gaming
110,fashion
111,home
111,electronics
112,kids
112,sport
113,electronics
113,fitness
114,electronics
114,gaming
115,electronics
116,outdoor
117,sport
118,fashion
118,electronics
119,gaming
119,electronics
120,fashion
120,outdoor
120,gaming
121,outdoor
122,fitness
122,home
122,gaming
123,gaming
123,outdoor
124,gaming
124,gaming
124,fitness
125,kids
125,fitness
126,electronics
126,home
127,kids
128,electronics
128,kids
128,outdoor
129,sport
129,home
129,home
130,kids
130,fitness
130,outdoor
131,gaming
131,gaming
132,fitness
132,home
133,gaming
133,sport
134,fashion
134,kids
134,outdoor
135,home
135,home
136,home
136,fitness
137,fashion
137,sport
137,kids
138,home
139,home
139,gaming
139,fitness
140,home
140,fitness
141,fitness
141,fitness
141,outdoor
142,kids
142,outdoor
143,electronics
144,kids
144,fashion
145,fitness
145,electronics
145,electronics
146,home
146,fashion
146,kids
147,gaming
147,outdoor
148,outdoor
148,home
148,outdoor
149,outdoor
150,home
151,electronics
151,fashion
151,sport
152,kids
153,fitness
154,electronics
154,home
154,kids
155,electronics
155,outdoor
156,kids
156,fitness
157,sport
157,kids
157,gaming
158,sport
158,fitness
158,fitness
159,electronics
159,electronics
159,fashion
160,fashion
160,kids
161,sport
162,fitness
163,fitness
163,fashion
163,fashion
164,outdoor
164,fitness
164,outdoor
165,home
165,kids
166,electronics
166,gaming
167,sport
167,home
167,electronics
168,gaming
168,fashion
169,home
170,gaming
171,kids
171,electronics
172,gaming
172,fitness
172,electronics
173,home
174,fitness
174,kids
174,kids
175,kids
176,electronics
176,kids
176,fashion
177,gaming
177,sport
178,gaming
178,fashion
179,gaming
179,home
180,fitness
181,fashion
181,electronics
181,sport
182,kids
182,fashion
182,electronics
183,electronics
184,kids
184,fashion
185,home
185,outdoor
186,electronics
186,fitness
187,outdoor
187,fashion
187,outdoor
188,outdoor
188,home
188,kids
189,kids
189,outdoor
189,fashion
190,sport
190,home
191,outdoor
191,kids
191,fitness
192,sport
192,fashion
193,electronics
194,outdoor
195,electronics
196,electronics
196,outdoor
197,electronics
197,kids
197,gaming
198,outdoor
198,home
199,fashion
199,fitness
200,gaming
200,home
200,sport
201,home
202,fashion
202,gaming
203,home
203,fashion
203,sport
204,sport
204,kids
205,fashion
206,outdoor
206,home
206,electronics
207,electronics
207,fitness
207,electronics
208,fashion
208,sport
208,sport
209,fitness
209,home
210,outdoor
210,sport
211,sport
212,home
212,sport
213,sport
214,fitness
215,kids
215,outdoor
216,fashion
216,sport
217,kids
217,fitness
218,home
218,gaming
218,home
219,kids
220,home
220,fashion
221,electronics
222,fashion
223,gaming
223,fitness
224,sport
224,sport
224,sport
225,outdoor
226,fitness
226,fashion
226,fitness
227,sport
228,electronics
228,gaming
228,sport
229,home
229,fashion
230,fitness
230,gaming
231,fashion
231,electronics
231,fashion
232,gaming
232,gaming
233,home
233,fashion
234,electronics
235,electronics
235,kids
235,outdoor
236,sport
236,kids
237,home
237,electronics
238,electronics
238,sport
239,outdoor
239,home
240,electronics
240,home
240,electronics
241,sport
242,kids
242,fitness
242,home
243,sport
244,electronics
244,fashion
245,outdoor
246,kids
246,electronics
247,kids
247,home
247,fashion
248,home
249,electronics
249,gaming
250,sport
250,electronics
250,fitness
251,gaming
251,fashion
252,fitness
252,fitness
252,sport
253,kids
254,fashion
254,electronics
255,electronics
255,gaming
255,home
256,sport
256,home
257,fitness
257,outdoor
258,kids
258,sport
259,fitness
260,kids
260,outdoor
261,gaming
261,sport
262,gaming
262,home
263,electronics
263,home
264,sport
265,gaming
265,outdoor
265,gaming
266,kids
266,kids
266,fitness
267,home
267,outdoor
268,home
268,outdoor
268,fitness
269,fitness
269,gaming
269,fitness
270,home
271,electronics
271,gaming
271,outdoor
272,gaming
273,fitness
273,kids
273,sport
274,electronics
274,gaming
275,electronics
276,fitness
277,home
278,kids
278,sport
278,gaming
279,kids
279,home
279,fashion
280,fitness
280,gaming
281,fitness
281,kids
282,electronics
282,home
283,kids
283,fitness
283,fashion
284,kids
284,sport
285,kids
286,fitness
287,sport
287,kids
288,kids
288,outdoor
289,gaming
289,home
290,fashion
291,fitness
291,fashion
291,sport
292,fashion
292,outdoor
292,fitness
293,sport
293,fitness
294,gaming
294,outdoor
294,home
295,fashion
295,fashion
295,gaming
296,kids
296,sport
297,outdoor
297,electronics
298,fitness
299,electronics
299,sport
300,electronics
300,fashion
301,gaming
301,electronics
301,electronics
302,fitness
303,electronics
303,home
304,fitness
304,electronics
305,home
306,kids
306,home
307,electronics
308,fashion
309,sport
309,electronics
309,electronics
310,outdoor
311,outdoor
311,kids
311,electronics
312,sport
312,electronics
313,fashion
313,fashion
314,fitness
315,sport
315,fitness
315,kids
316,electronics
317,electronics
317,fashion
317,fashion
